1	⿰令袞	⿰令袞	lin55	lin3	古壯字，打滾，一說本字輾，一說本字輪或轥	※
2	⿰农長	⿰农長	naŋ53	naang1	古壯字，茁壯	※
3	⿰口罈	⿰口罈	pɐm22	bam6	古壯字，罈子	※
4	⿰口靄	⿰口靄	ȵai55	njaai3	古壯字，嚼	※
5	⿰呆艮	⿰呆艮	ŋaŋ55	ngaang3	古壯字，傻，瘋癲，又作戇字	※
6	⿰平刂	⿰平刂	mɐn24	man5	古壯字，鈍	※
7	⿰弄動	⿰弄動	ŋok2	nguk6		※
8	⿰弄迷	⿰弄迷	lœŋ53	loeng1	古壯字，差錯	※
9	⿰忄夹	⿰忄夹	ȵap5	njaap3	古壯字，心～，心煩，俗字悒/唈	※
10	⿰手兆	⿰手兆	tʰɛu33	teu2	古壯字，提（东西）；倒掉（水）	※
11	⿰手卜	⿰手卜	mœk3	moek2	古壯字，掏，本字摸	※
12	⿰扌划	⿰扌划	wak24	waak5	古壯字，招手，又作掝字	※
13	⿰扌办	⿰扌办	pan33	baan2	古壯字，摔、摔打，本字拌	※
14	⿰抖申	⿰抖申	ɬɐn21	slan4	古壯字，發抖	※
15	⿰未曾	⿰未曾	mɐŋ21	mang4	合音字，未曾的合音	※
16	⿰止丁	⿰止丁	tɐm53	dam1	古壯字，用牛角挑	※
17	⿰氵郎	⿰氵郎	laŋ24	laang5	古壯字，漱、涮洗，本字盪	※
18	⿰笨審	⿰笨審	ɬɐm21	slam4	古壯字，傻、動作遲緩，本字尋	※
19	⿰米乙	⿰米乙	∅ɛt3	et2	古壯字，糍粑，本字䊦	※
20	⿰糹些	⿰纟些	ɬe53	sle1	養魚的網；用網攔	※
21	⿰累乜	⿰累乜	nɐt3	nat2	古壯字，痠痛，累	※
22	⿰罢瓜	⿰罢瓜	mai53	maai1	古壯字，～瓜，瓠子，壯語本義水瓢	※
23	⿰老吉	⿰老吉	ke55	ge3		※
24	⿰谷列	⿰谷列	lɛp3	lep2	古壯字，穀～，穀殼	※
25	⿰身必	⿰身必	pe22	be6	古壯字，背負，～篷，披身雨篷，應與孭同源	※
26	⿰車奔	⿰車奔	pɐn55	ban3	古壯字，旋轉，又作捹/逩字	※
27	⿰𧾷乙	⿰𧾷乙	jɛt5	jet3	古壯字，躍過，本字逸	※
28	⿱打末	⿱打末	map2	maap6	古壯字，用石擲、用棍打	※
29	⿱敞牙	⿱敞牙	pe53	be1	古壯字，緊挨相連，～～坐，排排坐	※
30	⿱松土	⿱松土	mœŋ53	moeng1	古壯字，鬆軟粉麪，又作𡁏字	※
31	⿱雨末	⿱雨末	mɐt3	mat2	古壯字，發黴，疑本字沫或歿	※
32	⿵门可	⿵门可	ko21	go4	古壯字，彎曲，疑本字𢑆	※
33	⿸尸且	⿸尸且	∅e55	e3	古壯字，屎，又作𡲢字	※
34	⿸疒妾	⿸疒妾	ɬɛp5	slep3	古壯字，辣痛	※
35	⿸疒王	⿸疒王	nɐn53	nan1	噁心	※
36	⿺包谷	⿺包谷	pau21	baau4	古壯字，秕，本字穮/𦔩	※
37	⿺尼比	⿺尼比	fɛt5	fet3		※
38	⿺气屎	⿺气屎	kʰe53	ke1	古壯字，屎，又作𡲢字	※
39	⿺走片	⿺走片	pan21	baan4	古壯字，爬	※
40	⿺辶彭	⿺辶彭	pʰœŋ53	poeng1	古壯字，撲	※
41	⿺風朋	⿺風朋	pɐŋ55	bang3	古壯字，脹～～，脹鼓鼓，又作韸字	※
42	〇	〇	leŋ21	ling4		※
43	㑊	㑊	∅ɐk2	ak6		(又)
44	㑊	㑊	jek24	jik5		※
45	㑳	㑇	tʃɐu55	zau3		※
46	㓟	㓟	mɐi53	mai1	削，又作劘字	(白)
47	㓟	㓟	pʰɐi53	pai1	削，又作𠜱字	※
48	㓤	㓤	kɐt3	gat2	刺	※
49	㔆	㔆	tʃam24	zaam5	刺、扎，與插對轉	※
50	㔙	㔙	pʰaŋ53	paang1		※
51	㔹	㔹	lɐk24	lak5		※
52	㕭	㕭	jau53	jaau1	～呝[jak5]，吵嚷	※
53	㕭	㕭	jau55	jaau3	咿～，不認真，又作咿呦	※
54	㕮	㕮	fu33	fu2		※
55	㕵	㕵	wɐu55	wau3	擬聲詞，狗吠聲，又作汪字	(語)
56	㕵	㕵	kok3	guk2	同國字	※
57	㖭	㖭	tʰim53	tim1		※
58	㖸	㖸	kʰiɐk3	kiak2	㖸（噱）頭，俗作謔頭	※
59	㗂	㗂	ɬɐŋ21	slang4	古壯字，詞綴，毛～～，高～～	(語)
60	㗂	㗂	ʃaŋ33	saang2		※
61	㗇	㗇	kʰa53	kaa1	欺負，一說本字諕/謑	(語)
62	㗇	㗇	ha53	haa1		※
63	㗎	㗎	ka55	gaa3		※
64	㗱	㗱	tʃɛp5	zep3	～口脣，咂嘴脣；～相，咂嘴貌	(語)
65	㗱	㗱	tʃɛp2	zep6	咀嚼聲	(語)
66	㗱	㗱	tʃɐp2	zap6		※
67	㗲	𠵾	wiɐk2	wiak6		※
68	㗾	㗾	hœ21	hoe4	擬聲詞	※
69	㗾	㗾	hœ24	hoe5	㗾[hœ21]～聲，熱鬧貌	※
70	㗾	㗾	hœ53	hoe1	起鬨	※
71	㘄	㘄	lɐŋ53	lang1		※
72	㘆	㘆	tʰai33	taai2	語不正	※
73	㘈	㘈	ŋe21	nge4	～㘈[ŋɛ55]，二胡，又作𡃀字	(語)
74	㘈	㘈	ŋe55	nge3	㘈[ŋɛ21]～，二胡，又作𡃀字	(語)
75	㘈	㘈	ŋe33	nge2	推門聲	(語)
76	㘈	㘈	ni22	ni6	無聞見	※
77	㘈	㘈	nek24	nik5	小兒有知	※
78	㘋	㘋	jin21	jin4		(又)
79	㘋	㘋	hɛn24	hen5	古壯字，啃	(語)
80	㘋	㘋	jyn21	jyun4		※
81	㘚	㘎	hɛm55	hem3		(白)
82	㘚	㘎	ham33	haam2		※
83	㘝	㘝	nap5	naap3	搛，與揇對轉	(語)
