ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE
1	〇	〇	leŋ21	ling4		
2	㑊	㑊	∅ɐk2	ak6		(又)
3	㑊	㑊	jek24	jik5		
4	㑳	㑇	tʃɐu55	zau3		
5	㓟	㓟	mɐi53	mai1	削，又作劘字	(白)
6	㓟	㓟	pʰɐi53	pai1	削，又作𠜱字	
7	㓤	㓤	kɐt3	gat2	刺	
8	㔆	㔆	tʃam24	zaam5	刺、扎，與插對轉	
9	㔹	㔹	lɐk24	lak5		
10	㕭	㕭	jau53	jaau1	～呝[jak5]，吵嚷	
11	㕭	㕭	jau55	jaau3	咿～，不認真，又作咿呦	
12	㕮	㕮	fu33	fu2		
13	㕵	㕵	wɐu55	wau3	擬聲詞，狗吠聲，又作汪字	(語)
14	㕵	㕵	kok3	guk2	同國字	
15	㖀	㖀	lɐt24	lat5		
16	㖭	㖭	tʰim53	tim1		
17	㖵	㖵	kɛt3	get2		(老派)
18	㖵	㖵	kat3	gaat2		
19	㖸	㖸	kʰiɐk3	kiak2	㖸（噱）頭，俗作謔頭	
20	㗂	㗂	ɬɐŋ21	slang4	古壯字，詞綴，毛～～，高～～	(語)
21	㗂	㗂	ʃaŋ33	saang2		
22	㗇	㗇	kʰa53	kaa1	欺負，一說本字諕/謑	(語)
23	㗇	㗇	ha53	haa1		
24	㗎	㗎	ka55	gaa3		
25	㗑	㗑	pai55	baai3		
26	㗰	㗰	tʃœŋ21	zoeng4		
27	㗱	㗱	tʃɛp5	zep3	～口脣，咂嘴脣；～相，咂嘴貌	(語)
28	㗱	㗱	tʃɛp2	zep6	咀嚼聲	(語)
29	㗱	㗱	tʃɐp2	zap6		
30	㗲	𠵾	wiɐk2	wiak6		
31	㗾	㗾	hœ21	hoe4	擬聲詞	
32	㗾	㗾	hœ24	hoe5	㗾[hœ21]～聲，熱鬧貌	
33	㗾	㗾	hœ53	hoe1	起鬨，本字噓	
34	㘄	㘄	lɐŋ53	lang1		
35	㘆	㘆	tʰai33	taai2	語不正	
36	㘈	㘈	ŋe21	nge4	～㘈[ŋɛ55]，二胡，又作𡃀字	(語)
37	㘈	㘈	ŋe55	nge3	㘈[ŋɛ21]～，二胡，又作𡃀字	(語)
38	㘈	㘈	ŋe33	nge2	推門聲	(語)
39	㘈	㘈	ni22	ni6	無聞見	
40	㘈	㘈	nek24	nik5	小兒有知	
41	㘋	㘋	jin21	jin4		(又)
42	㘋	㘋	jyn21	jyun4		
43	㘗	㘗	kʰy53	kyu1		
44	㘚	㘎	hɛm55	hem3		(白)
45	㘚	㘎	ham33	haam2		
46	㘝	㘝	nap5	naap3	搛，與揇對轉	(語)
47	㘝	㘝	nɛp5	nep3	搛，與拈對轉	(語)
48	㘝	㘝	nap2	naap6		
49	㙍	㙍	to53	do1		(又)
50	㙍	㙍	tʃui55	zui3		
51	㙓	㙓	kʷɐi21	gwai4		
52	㙘	㙘	jiu53	jiu1		
53	㙟	㙟	laŋ24	laang5	江、湖邊的地窪地	
54	㙦	㙦	tʃe21	ze4		(又)
55	㙦	㙦	tʃʰe21	ce4		
56	㚻	㚻	kɐi53	gai1		
57	㛃	㛃	kit3	git2		(又)
58	㛃	㛃	kyt3	gyut2		
59	㛚	㛚	tʰœŋ33	toeng2		
60	㛹	㛹	pin21	bin4		
61	㜇	㜇	wɐi55	wai3		
62	㜷	𡝠	mi21	mi4		
63	㜺	㜺	tʃan33	zaan2	漂亮	
64	㝓	㝓	hap3	haap2		(文)
65	㝓	㝓	kʰɐp3	kap2	蓋，俗字扱	(白)
66	㝿	㝿	po33	bo2		(又)
67	㝿	㝿	pɐi53	bai1		
68	㞎	㞎	pa24	baa5		(又)
69	㞎	㞎	pa21	baa4		(又)
70	㞎	㞎	pe24	be5	㞎[pɛ21]～，屎	
71	㞎	㞎	pe21	be4	～㞎[pɛ24]，屎	
72	㞓	㞓	hɐi53	hai1	女陰（即谿，山間河），俗字閪	
73	㞗	㞗	kɐu21	gau4		
74	㞘	㞘	tœk3	doek2	容器底部，同䐁字	
75	㞞	𪨊	ɬœŋ21	sloeng4	～～邪邪，無精打采，本字倯	
76	㞢	㞢	tʃi53	zi1	同之字	
77	㞢	㞢	jɐu24	jau5	同有字	
78	㟃	㟃	ɬi53	sli1		
79	㟤	㟤	lœk24	loek5		
80	㟼	㟼	ŋau21	ngaau4		
81	㠇	㠇	tʃɐu22	zau6		
82	㠓	㠓	mœŋ21	moeng4		
83	㠣	𫵷	lek24	lik5		
84	㡿	㡿	tʃʰek3	cik2		
85	㤿	㤿	jim53	jim1	㤿憸，愛挑剔	
86	㥄	㥄	leŋ21	ling4		
87	㥮	㤘	tʃʰau33	caau2		(又)
88	㥮	㤘	tʃɐu55	zau3		
89	㦒	㦒	lɐi24	lai5		
90	㧀	㧀	kɐp2	gap6		
91	㧗	㧗	tʃi33	zi2		
92	㧤	㧤	tʃʰœŋ55	coeng3		
93	㧬	㧬	∅œŋ33	oeng2	推，本字擁	(語)
94	㧬	㧬	kœŋ33	goeng2		
95	㧸	㧸	piɐŋ24	biang5	驅趕，又作抨/搒字	
96	㧻	㧻	tok3	duk2		(又)
97	㧻	㧻	tœk5	doek3	戳、刺、捅，與捅對轉，同𧰵字	
98	㧾	㧾	kʷʰɐt3	kwat2		(又)
99	㧾	㧾	fɐt3	fat2		
100	㨁	㨁	tʃai53	zaai1	投擲，俗字㩟	(語)
101	㨁	㨁	tʃi22	zi6	投；持	
102	㨁	㨁	tʃek2	zik6	拄杖	
103	㨂	㨂	toŋ33	dung2	捅	(語)
104	㨂	㨂	tœŋ33	doeng2	打、擊	
105	㨃	㨃	tui33	dui2		
106	㨆	㨆	lɐm22	lam6	堆砌，與笠/拉/搚對轉	
107	㨘	㨘	ɬɐŋ24	slang5		(又)
108	㨘	㨘	ɬaŋ24	slaang5	拭擦；訓斥；打	
109	㨢	㨢	niɐŋ55	niang3	連帶，又作㨢字	(又)
110	㨢	㨢	nɐŋ55	nang3	連帶，又作褦字	
111	㨤	㧟	kʷʰe55	kwe3		(白)
112	㨤	㧟	kʷai24	gwaai5	撥拉，同擓字	
113	㨥	㨥	map2	maap6	用石擲、用棍打，古壯字⿱打末	(訓)
114	㨥	㨥	nap24	naap5		
115	㨮	㨮	tɐu53	dau1	掬，～啲水；對身體行使動作，～頭淋；用肢體打，～一腳	
116	㨴	㨴	kʰin33	kin2		
117	㩄	㩄	ɬai53	slaai1	一兩歲小兒死亡，俗字嘥	
118	㩆	㩆	tʃɐu22	zau6		
119	㩋	𪮋	ɬœk3	sloek2	擊；擊聲	
120	㩋	𪮋	ɬiu53	sliu1	把	
121	㩒	㩒	kɐm22	gam6	同撳字	
122	㩙	㩙	ɬak5	slaak3	裂開，折斷	
123	㩟	㩟	tʃai53	zaai1	投擲，本字㨁	(語)
124	㩟	㩟	tʃai22	zaai6	縫綴	
125	㩢	㩢	mat24	maat5	拭也，俗字抹	
126	㩧	㩧	pœk5	boek3	敲	
127	㩮	㩮	hin53	hin1		(又)
128	㩮	㩮	hyn53	hyun1	同攑字	
129	㩳	㧐	ɬœŋ33	sloeng2		
130	㩺	㩺	pʰi53	pi1	器物邊緣破損，又作𤿎字	
131	㩿	㩿	kʰɐk5	kak3	㪐～，路不平或說話結巴，本字犖確/犖硞/犖埆/犖嶨/碌硞，與哽/鯁/骾對轉	(訓)
132	㪐	㪐	lɐk5	lak3	～㩿，路不平或說話結巴，本字犖確/犖硞/犖埆/犖嶨/碌硞，與掕對轉	(訓)
133	㪒	㪒	nɐi21	nai4		(又)
134	㪒	㪒	ŋɐi21	ngai4		
135	㪕	㪕	tʃʰiɐk3	ciak2		
136	㪗	㪗	tʰɐu33	tau2	休息，又作敨字	
137	㫰	㫰	laŋ22	laang6	晾	
138	㬊	㬊	wun24	wun5		
139	㬎	㬎	hyn33	hyun2		(又)
140	㬎	㬎	hin33	hin2		
141	㬚	㬚	tʃʰit3	cit2		(又)
142	㬚	㬚	tʃʰyt3	cyut2		
143	㬟	㬟	mɐŋ21	mang4	未曾的合音，方言字⿰未曾	(語)
144	㬟	㬟	fɐn53	fan1		
145	㬤	㬤	lɐp5	lap3		(又)
146	㬤	㬤	kʰɐp3	kap2		
147	㬹	㬹	tʃiɐŋ53	ziang1	肘；腳跟；俗字踭	
148	㭕	㭕	kʰy53	kyu1		
149	㮇	㮇	tʰim33	tim2		
150	㮑	㮑	tʃʰɐp5	cap3	脆～～，非常脆	(語)
151	㮑	㮑	tʃʰap3	caap2		
152	㮾	㮾	laŋ24	laang5		
153	㰀	㰀	lɐi21	lai4		
154	㰵	㰵	tʃot5	zot3	吮吸，又作嘬/欼/歠/啜字	(語)
155	㰵	㰵	tʃɐt3	zat2		
156	㱠	㱠	hu53	hu1		(文)
157	㱠	㱠	kʰu53	ku1		(白)
158	㱻	㱻	la55	laa3	瘟疫	(語)
159	㱻	㱻	lo24	lo5		
160	㳄	㳄	jyn21	jyun4		(又)
161	㳄	㳄	hin21	hin4		
162	㳇	㳇	fu22	fu6		
163	㳘	㳘	tʃʰœŋ53	coeng1		
164	㳚	㳚	wɐt3	wat2		
165	㴔	㴔	kʰɐp3	kap2		
166	㵐	㵐	kʰyt3	kyut2		
167	㵘	㵘	man22	maan6		
168	㵯	㵯	poŋ24	bung5	象聲詞，打水聲	(語)
169	㵯	㵯	fœŋ21	foeng4		
170	㵶	㵶	tʃɛt5	zet3		(白)
171	㵶	㵶	tʃit5	zit3	擠水射出，又作瀄字	
172	㶲	㶲	jœŋ22	joeng6		
173	㷫	㷫	heŋ55	hing3	烤；热；烫	
174	㷹	㷹	tʃau55	zaau3	用油炸	
175	㷹	㷹	tʃau55	zaau3	用油炸	
176	㸆	㸆	kʰau55	kaau3		
177	㸌	㸌	kʰak3	kaak2		(白)
178	㸌	㸌	kʰok3	kuk2		
179	㸺	㸺	ʃa53	saa1		
180	㹃	㹃	fe55	fe3		(又)
181	㹃	㹃	fe24	fe5	褦[lɛ24]㹃，同褦襶	(語)
182	㹃	㹃	he55	he3	翻、撬	
183	㹢	㹢	ka53	gaa1		
184	㹴	㹴	kiɐŋ53	giang1		
185	㺄	㺄	jy24	jyu5		
186	㺢	㺢	kʰak3	kaak2		(白)
187	㺢	㺢	kʰok3	kuk2		
188	㻬	㻬	ʃy53	syu1		(又)
189	㻬	㻬	tʰu53	tu1		
190	㼞	㼞	pʰɐŋ55	pang3		
191	㽏	㽏	kam55	gaam3		
192	㾓	㾓	jyn53	jyun1	骨節痠痛	
193	㿀	㿀	pan53	baan1		
194	㿇	㿇	ɬɛp5	slep3	辣痛，古壯字⿸疒妾	(語)
195	㿇	㿇	ɬɐp3	slap2	小痛	
196	㿇	㿇	tʃɐp2	zap6	痺疾	
197	㿠	㿠	koŋ53	gung1		
198	㿭	㿭	tʃʰiɐk3	ciak2	皴；沙哑	
199	㿺	㿺	pok5	buk3	皰，又作泡/𦢊字	
200	䀇	䀇	ku33	gu2		
201	䀡	䀡	tʃim53	zim1	同覘字	
202	䀹	䀹	ʃip3	sip2		(又)
203	䀹	䀹	tʃip3	zip2		(又)
204	䀹	䀹	ʃim33	sim2	眨	
205	䁅	䁅	miɐŋ24	miang5		(老派)
206	䁅	䁅	mɐŋ33	mang2	～𤿆[tʃɐŋ33]，同𤷪𤺧	(語)
207	䁅	䁅	mɐŋ55	mang3	暴躁，本字繃	(語)
208	䁅	䁅	maŋ24	maang5		
209	䁋	䁋	hip3	hip2	閉目	
210	䁪	䁪	tʃam33	zaam2		
211	䁽	䁽	lap3	laap2	掃視，與覽對轉	
212	䂮	䂮	liɐk24	liak5		
213	䂻	䂻	tʃiɐŋ22	ziang6	硬塞；飽肚；或撑字清轉濁	
214	䂿	䂿	tɐm22	dam6	跺	(語)
215	䂿	䂿	tɐp2	dap6	砸、捶	(語)
216	䂿	䂿	tap2	daap6		
217	䃎	䃎	tʃa55	zaa3		
218	䃮	鿎	tat2	daat6		
219	䅦	䅦	mau53	maau1	虛鬆不實，又作泡字	
220	䅺	䅺	piu53	biu1	冒出	
221	䆟	䆟	hap3	haap2		(文)
222	䆟	䆟	kʰɐp3	kap2	蓋，俗字扱	(白)
223	䆡	䆡	laŋ55	laang3	䆲䆡，空蕩	(語)
224	䆡	䆡	laŋ21	laang4		
225	䆲	䆲	kʷʰaŋ55	kwaang3	䆲䆡，空蕩	(語)
226	䆲	䆲	kʰaŋ53	kaang1		
227	䈎	页	jip24	jip5		
228	䉕	䉕	lɐŋ53	lang1	古壯字，篩，～箕，籮篩，或爲掕變調	(語)
229	䉕	䉕	tʃɐŋ21	zang4		
230	䉲	𥮜	mi21	mi4		
231	䉴	䉴	neŋ33	ning2	魚～，魚簍，俗字笭	(語)
232	䉴	䉴	ŋiɐŋ33	ngiang2	魚～，魚簍，俗字笭	(語)
233	䉴	䉴	ŋiɐŋ21	ngiang4		
234	䉵	䉵	tʃyn22	zyun6		
235	䉺	䉺	haŋ33	haang2	陳米氣味；皮膚乾燥	
236	䊆	䊆	kɐu22	gau6	塊、團，俗字嚿	(量)
237	䊦	䊦	∅ɛt3	et2	糍粑	(白)
238	䊦	䊦	jit3	jit2		
239	䊷	䌶	tʃi53	zi1		
240	䋨	䋨	pʰɐu55	pau3	鬆軟，又作婄字	(語)
241	䋨	䋨	fu33	fu2		
242	䌳	䌳	ɬe53	sle1	養魚的網；用網攔；方言字⿰糹些	(語)
243	䌳	䌳	ʃi53	si1		
244	䍇	䍇	tʰap3	taap2		
245	䎃	䎃	ȵim24	njim5		
246	䎖	䎖	tʃɐŋ53	zang1		
247	䎺	䎺	tʃi55	zi3	願意；合算	
248	䏙	䏙	tɐm53	dam1	肚～，肚子；肥～～，矮胖貌；～頹，遲鈍、傻	
249	䏡	䏡	ʃi22	si6		
250	䏰	䏰	ȵyn22	njyun6	土～，蚯蚓	(語)
251	䏰	䏰	ȵɐn22	njan6		
252	䏲	䏲	tit2	dit6		
253	䏽	䏽	pɐu22	bau6	瘻～，不整潔，臃腫	
254	䐁	䐁	tœk3	doek2	容器底部，又作㞘/𡰪字	
255	䐃	䐃	kɐn24	gan5	禽類的胃（百姓以爲禽的腎），俗作肫/胗字	(語)
256	䐃	䐃	kʷɐn24	gwan5		
257	䐎	䐎	ty53	dyu1	皮膚上的小疙瘩	(語)
258	䐎	䐎	tɐi53	dai1		
259	䐛	䐛	tap3	daap2		
260	䐥	䐥	∅œŋ55	oeng3		
261	䑋	䑋	naŋ53	naang1	茁壯、壯實、胖	(語)
262	䑋	䑋	ŋiɐŋ24	ngiang5		
263	䑜	䑜	tɛp5	dep3	小口品嚐	(語)
264	䑜	䑜	tʰap3	taap2		
265	䒏	䒏	ɬɐŋ21	slang4	懵～～，糊糊塗塗，又作㗂字	(語)
266	䒏	䒏	ɬaŋ55	slaang3	䒐[maŋ55]䒐[maŋ55]～～，隨隨便便，不正經	(語)
267	䒏	䒏	tʃɐŋ33	zang2		
268	䒐	䒐	maŋ55	maang3	～～䒏[ɬaŋ55]䒏[ɬaŋ55]，隨隨便便，不正經	(語)
269	䒐	䒐	mɐŋ33	mang2		
270	䓛	䓛	kʷɐt3	gwat2		(又)
271	䓛	䓛	wɐt3	wat2		
272	䓣	𬜯	liɐŋ24	liang5		
273	䓫	䓫	ki21	gi4		
274	䓬	䓬	tʃok3	zuk2		(又)
275	䓬	䓬	tʃœk3	zoek2		
276	䗛	䗛	ɬɐu53	slau1		
277	䗧	䗧	kʰaŋ21	kaang4	螞螂～，螳螂	(語)
278	䗧	䗧	kʰaŋ53	kaang1		
279	䗪	䗪	tʃe55	ze3		
280	䗴	䗴	teŋ21	ding4		
281	䘆	䘆	hyn33	hyun2		(又)
282	䘆	䘆	hin33	hin2		
283	䘒	䘒	tʃui53	zui1	赤子陰	
284	䚕	䚕	lɐi33	lai2	瞟，又作𧢝/矋/𣛒/𥉆字	
285	䚕	䚕	lɐi55	lai3	找	
286	䜇	䜇	kʷɐn55	gwan3	騙，又作𧥺/𧬪/謴字	
287	䝋	䝋	tʃœŋ53	zoeng1		
288	䝼	䞍	tʃeŋ21	zing4	承受財物	
289	䝼	䞍	tʃeŋ22	zing6	賜予	
290	䞘	䞘	kɐt2	gat6	直行；<語>～路，滾蛋，又作趷/趌字	
291	䟕	䟕	tʃʰa53	caa1		
292	䟴	䟴	ŋɐn55	ngan3	搖晃，與扤對轉	
293	䠋	䠋	pi33	bi2	同髀字	
294	䠋	䠋	pai53	baai1	蹟䠋	
295	䠩	䠩	kui22	gui6	累，又作癐/攰字	
296	䡵	𫟦	ʃui22	sui6		
297	䢅	䢅	ʃɐn21	san4		
298	䢺	䢺	tʃʰɐt3	cat2		
299	䢼	䢼	kœŋ53	goeng1		
300	䣘	䣘	taŋ21	daang4		
301	䥇	䦂	ʃin55	sin3		
302	䥑	鿏	miɐk24	miak5		
303	䥕	𬭯	pʰit3	pit2		
304	䥛	䥛	kit3	git2		(又)
305	䥛	䥛	kyt3	gyut2		
306	䨻	䨻	pɐŋ22	bang6		
307	䩌	䩌	tʃau21	zaau4	褶皺，又或䐬字	(語)
308	䩌	䩌	tʃiu21	ziu4		
309	䩩	䩩	jyn33	jyun2		
310	䪏	䪏	nap24	naap5		
311	䬍	䬍	fot2	fot6	啡[fi55]啡[fi55]～～，形容工作緊張	(語)
312	䬍	䬍	fɐt3	fat2		
313	䬬	䬬	∅ɐŋ55	ang3	使勁憋，～屎，拉屎，又作嗯字	(語)
314	䬬	䬬	jiɐŋ55	jiang3	飽；滿	
315	䭑	𫗱	kɛm24	gem5	舔	(語)
316	䭑	𫗱	lim24	lim5		
317	䭔	𫗰	tui53	dui1	煎～	
318	䭞	䭞	jek24	jik5	飯壞	
319	䭤	䭤	hin33	hin2		
320	䭦	䭦	pok3	buk2	同餺字	
321	䭰	䭰	pœŋ22	boeng6		
322	䮄	𫠊	jyn21	jyun4		
323	䯾	䯾	tiu21	diu4	髮多	
324	䯾	䯾	tiu53	diu1	小兒留髮	
325	䰾	鲃	pa53	baa1		
326	䱽	䲝	tʃʰaŋ53	caang1		
327	䲁	鳚	wɐi55	wai3		
328	䲘	鳤	kun33	gun2		
329	䴉	鹮	wan21	waan4		
330	䵑	䵑	nek3	nik2	～身，汗衣黏身；黏，又作䵒/𪐌字	
