ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
1	一	一	∅ɐt3	at2			1
2	丁	丁	teŋ53	ding1	男丁，肉丁；<語>小粒狀物、個或少量，與滴對轉		1
3	七	七	tʃʰɐt3	cat2			1
4	万	万	man22	maan6	同萬字		1
5	万	万	mɐk24	mak5	万俟，複姓		1
6	萬	万	man22	maan6			1
7	丈	丈	tʃiɐŋ22	ziang6			1
8	三	三	ɬam53	slaam1			1
9	上	上	ʃɐŋ22	sang6	上面		1
10	上	上	ʃɐŋ24	sang5	上山		1
11	下	下	ja22	jaa6	底下，下山		1
12	下	下	ja24	jaa5	一下，等下		1
13	不	不	pɐt3	bat2	否定		1
14	不	不	fɐu24	fau5	同否字		1
15	与	与	jy24	jyu5	同與字		1
16	与	与	jy22	jyu6	同與字		1
17	與	与	hɐi55	hai3	給，又作許字	(語)	1
18	與	与	jy24	jyu5	贈與		1
19	與	与	jy22	jyu6	參與		1
20	丐	丐	kʰai55	kaai3			1
21	丑	丑	tʃʰɐu33	cau2			1
22	醜	丑	tʃʰɐu33	cau2			1
23	專	专	tʃyn53	zyun1			1
24	且	且	tʃʰe33	ce2			1
25	世	世	ʃi55	si3			1
26	丘	丘	jɐu53	jau1			1
27	丙	丙	peŋ33	bing2			1
28	業	业	nip24	nip5			1
29	叢	丛	tʃœŋ21	zoeng4			1
30	東	东	tœŋ53	doeng1			1
31	絲	丝	ɬi53	sli1			1
32	丟	丢	tɐu53	dau1			1
33	兩	两	liɐŋ24	liang5			1
34	嚴	严	ȵim21	njim4			1
35	喪	丧	ɬaŋ55	slaang3	喪失		1
36	喪	丧	ɬaŋ53	slaang1	喪事		1
37	個	个	ko55	go3			1
38	丫	丫	ja53	jaa1		(又)	1
39	丫	丫	∅a53	aa1			1
40	中	中	tʃœŋ55	zoeng3	中計		1
41	中	中	tʃœŋ53	zoeng1	中間		1
42	丰	丰	fœŋ53	foeng1			1
43	豐	丰	fœŋ53	foeng1			1
44	串	串	tʃʰyn55	cyun3			1
45	臨	临	lɐm21	lam4			1
46	丸	丸	jyn21	jyun4			1
47	丹	丹	tan53	daan1			1
48	為	为	wɐi21	wai4	作為		1
49	為	为	wɐi22	wai6	為了		1
50	爲	为	wɐi21	wai4	作爲		1
51	爲	为	wɐi22	wai6	爲了		1
52	主	主	tʃy33	zyu2			1
53	丽	丽	lɐi22	lai6			1
54	麗	丽	lɐi22	lai6			1
55	舉	举	ky33	gyu2			1
56	乃	乃	nai24	naai5			1
57	久	久	kɐu33	gau2			1
58	么	么	jiu53	jiu1	同幺字		1
59	么	么	mo53	mo1	同麼字		1
60	么	么	ma53	maa1	同嗎字		1
61	麼	么	mo24	mo5	句末疑問詞	(語)	1
62	麼	么	mo53	mo1	什麼		1
63	義	义	ȵi22	nji6			1
64	之	之	tʃi53	zi1			1
65	烏	乌	∅u53	u1		(又)	1
66	烏	乌	wu53	wu1			1
67	乍	乍	tʃa55	zaa3			1
68	乎	乎	hu21	hu4	在乎		1
69	乏	乏	fat2	faat6			1
70	樂	乐	lak24	laak5	快樂；<又>音樂		1
71	樂	乐	ŋak2	ngaak6	音樂		1
72	樂	乐	ŋau22	ngaau6	仁者樂山		1
73	乒	乒	peŋ53	bing1			1
74	乓	乓	paŋ53	baang1			1
75	乓	乓	paŋ53	baang1			1
76	喬	乔	kɛu21	geu4	（木板）彎曲變形	(語)	1
77	喬	乔	kiu21	giu4			1
78	乖	乖	kʷai53	gwaai1			1
79	乘	乘	ʃeŋ21	sing4	乘坐		1
80	乘	乘	ʃeŋ22	sing6	千乘		1
81	乙	乙	jit3	jit2		(又)	1
82	乙	乙	jyt3	jyut2			1
83	九	九	kɐu33	gau2			1
84	乞	乞	hɐt5	hat3	組詞讀，乞兒，乞飯	(又)	1
85	乞	乞	hɐt3	hat2	單字讀		1
86	也	也	je24	je5			1
87	習	习	tʃɐp2	zap6			1
88	鄉	乡	hiɐŋ53	hiang1			1
89	書	书	ʃy53	syu1			1
90	買	买	mai24	maai5			1
91	乱	乱	lun22	lun6			1
92	亂	乱	lun22	lun6			1
93	乳	乳	jy24	jyu5			1
94	乾	乾	kyn21	gyun4		(又)	1
95	乾	乾	kin21	gin4	乾坤		1
96	了	了	liu24	liu5			1
97	予	予	jy24	jyu5	賦予		1
98	予	予	jy21	jyu4	我		1
99	爭	争	tʃiɐŋ53	ziang1	爭執；欠		1
100	事	事	ʃɐi22	sai6			1
101	二	二	ȵi22	nji6			1
102	于	于	jy53	jyu1	同於字		1
103	于	于	jy21	jyu4	之子于歸；姓		1
104	於	于	jy53	jyu1	於是		1
