ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE
1	〇	〇	leŋ21	ling4		
2	㑊	㑊	jek2	jik6		
3	㑳	㑇	tʃɐu33	zau3		
4	㓟	㓟	mɐi55	mai1	削，又作劘字	(白)
5	㓟	㓟	pʰɐi55	pai1	削，又作𠜱字	
6	㓤	㓤	kɐt5	gat1	刺	
7	㔆	㔆	tʃʰam24	caam5	刺、扎，與插對轉	
8	㔹	㔹	lɐk2	lak6		
9	㕭	㕭	jau55	jaau1	咿～，不認真，又作咿呦	
10	㕮	㕮	fu35	fu2		
11	㕵	㕵	wɐu55	wau1	擬聲詞，狗吠聲，又作汪字	(語)
12	㕵	㕵	kɔk3	gok3	同國字	
13	㖀	㖀	lɔt2	lot6	走～～，魚貫而行	(語)
14	㖀	㖀	lɐt2	lat6		
15	㖭	㖭	lim55	lim1	句末虛詞	(語)
16	㖭	㖭	tʰim55	tim1		
17	㖵	㖵	kɔt3	got3		
18	㖸	㖸	kʰœk3	koek3	㖸（噱）頭，俗作謔頭	
19	㗂	㗂	ɬɐŋ21	slang4	古壯字，詞綴，毛～～，高～～	(語)
20	㗂	㗂	ʃaŋ35	saang2		
21	㗇	㗇	ha55	haa1	欺負，一說本字諕/謑	
22	㗎	㗎	ka33	gaa3	語氣詞，嘅啊的合音	
23	㗑	㗑	pai33	baai3		
24	㗰	㗰	tʃʰʊŋ21	cung4		
25	㗱	㗱	tʃɛp5	zep1	吸奶聲	(語)
26	㗱	㗱	tʃɛp2	zep6	咀嚼聲	(語)
27	㗱	㗱	tʃɐp2	zap6		
28	㗲	𠵾	wak2	waak6		
29	㗾	㗾	hœ21	hoe4	～哆[tœ55]，嗩吶	
30	㗾	㗾	hœ35	hoe2	㗾[hœ21]～聲，熱鬧貌；完成補語	
31	㗾	㗾	hœ55	hoe1	起鬨，本字噓	
32	㘄	㘄	lɐŋ55	lang1		
33	㘆	㘆	tʰɔi35	toi2	語不正	
34	㘈	㘈	ŋɛ21	nge4	～㘈[ŋɛ55]，二胡，又作𡃀字	(語)
35	㘈	㘈	ŋɛ55	nge1	㘈[ŋɛ21]～，二胡，又作𡃀字	(語)
36	㘈	㘈	ni22	ni6	無聞見	
37	㘈	㘈	nek2	nik6	小兒有知	
38	㘋	㘋	jin21	jin4		
39	㘗	㘗	kʰy55	kyu1		
40	㘚	㘎	hɛm33	hem3		(白)
41	㘚	㘎	ham33	haam3		
42	㘝	㘝	nap3	naap3	搛，與揇對轉	(語)
43	㘝	㘝	nɛp3	nep3	搛，與拈對轉	(語)
44	㘝	㘝	nap2	naap6		
45	㙍	㙍	tɔ55	do1		(又)
46	㙍	㙍	tʃui33	zui3		
47	㙓	㙓	kʷʰɐi21	kwai4		
48	㙘	㙘	jiu55	jiu1		
49	㙟	㙟	lɔŋ24	long5	江、湖邊的地窪地	
50	㙦	㙦	tʃʰɛ21	ce4		
51	㚻	㚻	kɐi55	gai1		
52	㛃	㛃	kit3	git3		
53	㛚	㛚	tʰʊŋ35	tung2		
54	㛹	㛹	pʰin21	pin4		
55	㜇	㜇	∅ɐi33	ai3	心情煩悶，又作翳/悘字	(語)
56	㜇	㜇	wɐi33	wai3		
57	㜷	𡝠	mɛ55	me1	母，屌那（你阿）～，詈語	(白)
58	㜷	𡝠	mi21	mi4		
59	㜺	㜺	tʃan35	zaan2	漂亮	
60	㝓	㝓	hɐp5	hap1		(文)
61	㝓	㝓	kʰɐp5	kap1	蓋，俗字扱	(白)
62	㝿	㝿	pɔ35	bo2		(又)
63	㝿	㝿	pɐi55	bai1		
64	㞎	㞎	pa35	baa2		(又)
65	㞎	㞎	pa21	baa4		(又)
66	㞎	㞎	pɛ35	be2	㞎[pɛ21]～，屎	
67	㞎	㞎	pɛ21	be4	～㞎[pɛ35]，屎	
68	㞓	㞓	hɐi55	hai1	女陰（即谿，山間河），俗字閪	
69	㞗	㞗	kʰɐu21	kau4		
70	㞘	㞘	tʊk5	duk1	容器底部，同䐁字	
71	㞞	𪨊	ɬʊŋ21	slung4	傻，本字倯	
72	㞢	㞢	tʃi55	zi1	同之字	
73	㞢	㞢	jɐu24	jau5	同有字	
74	㟃	㟃	sɿ55	sy1		(老派)
75	㟃	㟃	ʃi55	si1		
76	㟤	㟤	lʊk2	luk6		
77	㟼	㟼	ŋu21	ngu4		
78	㠇	㠇	tʃɐu22	zau6		
79	㠓	㠓	mʊŋ21	mung4		
80	㠣	𫵷	lek2	lik6		
81	㡿	㡿	tʃʰek5	cik1		
82	㤿	㤿	jim55	jim1	㤿憸，愛挑剔	
83	㥄	㥄	leŋ21	ling4		
84	㥮	㤘	tʃʰau35	caau2		(又)
85	㥮	㤘	tʃɐu33	zau3		
86	㦒	㦒	lɐi35	lai2		
87	㧀	㧀	kɐp2	gap6		
88	㧗	㧗	tsɿ35	zy2		(老派)
89	㧗	㧗	tʃi35	zi2		
90	㧤	㧤	tʃʰʊŋ33	cung3		
91	㧬	㧬	∅ʊŋ35	ung2	推，本字擁	(語)
92	㧬	㧬	kʊŋ35	gung2		
93	㧸	㧸	pʰaŋ24	paang5	驅趕，又作抨/搒字	
94	㧻	㧻	tʊk5	duk1	戳、刺、捅，與捅對轉，同𧰵字	
95	㧾	㧾	fɐt5	fat1		
96	㨁	㨁	tʃai22	zaai6	投擲，俗字㩟	(語)
97	㨁	㨁	tʃi22	zi6	投；持	
98	㨁	㨁	tʃek2	zik6	拄杖	
99	㨂	㨂	tʊŋ35	dung2	打、擊；捅	
100	㨃	㨃	tui35	dui2	捅	
101	㨆	㨆	lɐm22	lam6	堆砌，與笠/拉/搚對轉	
102	㨘	㨘	ʃaŋ35	saang2	拭擦；訓斥；打	
103	㨢	㨢	nɐŋ33	nang3	連帶，又作褦字	
104	㨤	㧟	kʷʰɛ33	kwe3		(白)
105	㨤	㧟	kʷʰai24	kwaai5	撥拉，同擓字	
106	㨥	㨥	mɐp2	map6	用石擲、用棍打，古壯字⿱打末	(訓)
107	㨥	㨥	nap2	naap6		
108	㨮	㨮	tɐu55	dau1	掬，～啲水；對身體行使動作，～頭淋；用肢體打，～一腳	
109	㨴	㨴	kʰin35	kin2	掀、揭，本字搴，與揭對轉	
110	㩄	㩄	ɬai55	slaai1	浪費，俗字嘥	
111	㩆	㩆	tʃɐu22	zau6		
112	㩋	𪮋	ɬʊk5	sluk1	擊；擊聲	
113	㩋	𪮋	ɬiu55	sliu1	把	
114	㩒	㩒	kɐm22	gam6	同撳字	
115	㩙	㩙	ɬak5	slaak1	裂開，折斷	
116	㩟	㩟	tʃai22	zaai6	縫綴；<語>投擲，本字㨁	
117	㩢	㩢	mat3	maat3	拭也，俗字抹	
118	㩧	㩧	pɔk5	bok1	敲	
119	㩮	㩮	hin55	hin1	同攑字	
120	㩳	㧐	ɬʊŋ35	slung2		
121	㩺	㩺	pʰi55	pi1	器物邊緣破損，又作𤿎字	
122	㩿	㩿	kʰɐk5	kak1	㪐～，路不平或說話結巴，本字犖確/犖硞/犖埆/犖嶨/碌硞，與哽/鯁/骾對轉	(訓)
